station,x,y,z_base,z_crest
6.5,6.492479463624201,77.72932336264364,-0.15096774193548385,0.0
7.0,6.990607552545073,77.68610819217487,-0.3019354838709677,0.0
7.5,7.48844838868756,77.63970080268189,-0.4529032258064516,0.0
8.0,7.985981515151129,77.59010310110217,-0.6038709677419354,0.0
8.5,8.48318648767942,77.5373171254671,-0.7548387096774193,0.0
9.0,8.980042875500327,77.48134504481821,-0.9058064516129032,0.0
9.5,9.476530262165525,77.42218915911808,-1.056774193548387,0.0
10.0,9.972628246389405,77.35985189915577,-1.2077419354838708,0.0
10.5,10.468316442887392,77.29433582644702,-1.3587096774193548,0.0
11.0,10.9635744832136,77.22564363312894,-1.5096774193548386,0.0
11.5,11.458382016597788,77.15377814184933,-1.6606451612903226,0.0
12.0,11.952718710781623,77.07874230565086,-1.8116129032258064,0.0
12.5,12.446564252854122,77.00053920784954,-1.9625806451612904,0.0
13.0,12.939898350086372,76.91917206190816,-2.113548387096774,0.0
13.5,13.432700730765356,76.83464421130417,-2.264516129032258,0.0
14.0,13.924951145026952,76.74695912939231,-2.4154838709677415,0.0
14.5,14.41662936568804,76.6561204192619,-2.5664516129032253,0.0
15.0,14.907715189077626,76.56213181358879,-2.7174193548387096,0.0
15.5,15.398188435867079,76.46499717448192,-2.8683870967741933,0.0
16.0,15.888028951899287,76.36472049332473,-3.019354838709677,0.0
16.5,16.37721660901685,76.26130589061103,-3.170322580645161,0.0
17.0,16.865731305889145,76.15475761577572,-3.321290322580645,0.0
17.5,17.353552968838322,76.04508004702029,-3.472258064516129,0.0
18.0,17.840661552664162,75.93227769113271,-3.6232258064516127,0.0
18.5,18.32703704146776,75.81635518330242,-3.7741935483870965,0.0
19.0,18.812659449474,75.69731728692977,-3.9251612903225808,0.0
19.5,19.29750882185279,75.57516889343029,-4.0761290322580646,0.0
20.0,19.781565235539027,75.44991502203375,-4.227096774193548,0.0
20.5,20.26480880005128,75.32156081957784,-4.378064516129032,0.0
21.0,20.747219658309117,75.19011156029676,-4.529032258064516,0.0
21.5,21.228777987449014,75.0555726456044,-4.68,0.0
22.0,21.709463999638952,74.9179496038725,-4.830967741935483,0.0
22.5,22.189257942891494,74.77724809020339,-4.981935483870967,0.0
23.0,22.66814010187544,74.63347388619765,-5.132903225806451,0.0
23.5,23.146090798725922,74.48663289971654,-5.283870967741936,0.0
24.0,23.623090393853026,74.33673116463926,-5.434838709677419,0.0
24.5,24.099119286748792,74.18377484061493,-5.585806451612903,0.0
25.0,24.574157916792622,74.02777021280959,-5.736774193548387,0.0
25.5,25.04818676405506,73.86872369164786,-5.887741935483871,0.0
26.0,25.52118635009987,73.70664181254953,-6.038709677419354,0.0
26.5,25.993137238784456,73.5415312356611,-6.189677419354838,0.0
27.0,26.4640200370585,73.37339874558194,-6.340645161290322,0.0
27.5,26.933815395760835,73.20225125108568,-6.491612903225806,0.0
28.0,27.40250401041457,73.02809578483622,-6.64258064516129,0.0
28.5,27.870066622020282,72.85093950309873,-6.793548387096774,0.0
29.0,28.33648401784743,72.67078968544567,-6.944516129032258,0.0
29.5,28.801737032223805,72.48765373445762,-7.095483870967741,0.0
30.0,29.2658065473231,72.30153917541908,-7.2464516129032255,0.0
30.5,29.72867349395046,72.1124536560093,-7.397419354838709,0.0
31.0,30.190318852326058,71.92040494598794,-7.548387096774193,0.0
31.5,30.650723652866674,71.72540093687591,-7.699354838709677,0.0
32.0,31.10986897696513,71.52744964163102,-7.8503225806451615,0.0
32.5,31.567735957767724,71.32655919431876,-8.001290322580644,0.0
33.0,32.02430578094947,71.12273784977802,-8.152258064516129,0.0
33.5,32.47955968548719,70.91599398328191,-8.303225806451612,0.0
34.0,32.93347896443046,70.70633609019362,-8.454193548387096,0.0
34.5,33.3860449656703,70.49377278561732,-8.60516129032258,0.0
35.0,33.83723909270555,70.27831280404418,-8.756129032258064,0.0
35.5,34.28704280540711,70.05996499899341,-8.907096774193548,0.0
36.0,34.73543762077975,69.83873834264848,-9.058064516129033,0.0
36.5,35.18240511372153,69.6146419254885,-9.209032258064516,0.0
37.0,35.62792691778103,69.38768495591458,-9.36,0.0
37.5,36.071984725911946,69.1578767598715,-9.513399999999999,0.0
38.0,36.51456029122541,68.92522678046453,-9.6668,0.0
38.5,36.95563542773977,68.6897445775713,-9.8202,0.0
39.0,37.39519201112783,68.45143982744908,-9.9736,0.0
39.5,37.83321197946167,68.21032232233709,-10.126999999999999,0.0
40.0,38.26967733395478,67.9664019700542,-10.2804,0.0
40.5,38.70457013970167,67.71968879359173,-10.4338,0.0
41.0,39.13787252641485,67.47019293070164,-10.5872,0.0
